"status","frontend_method","frontend_endpoint","backend_method","backend_endpoint","backend_controller","backend_action","frontend_files"
"unmatched","GET","/api/reportes/ventas/top-productos?fechaInicio={fechaInicio}&fechaFin={fechaFin}","","","","","Facturacion.Frontend/Pages/ReporteVentas.cshtml.cs:136"
"unmatched","GET","/api/seguridad/audit-log","","","","","Facturacion.Frontend/Pages/Seguridad.cshtml.cs:105"
"unmatched","GET","/api/seguridad/configuracion","","","","","Facturacion.Frontend/Pages/Seguridad.cshtml.cs:43"
"unmatched","GET","/api/seguridad/sesiones-activas","","","","","Facturacion.Frontend/Pages/Seguridad.cshtml.cs:134"
"unmatched","POST","/api/cabys/importar","","","","","Facturacion.Frontend/Pages/MantenimientoCabys.cshtml.cs:130"
"unmatched","POST","/api/correo/configuracion","","","","","Facturacion.Frontend/Pages/ConfiguracionCorreo.cshtml.cs:75"
"unmatched","POST","/api/correo/enviar-prueba","","","","","Facturacion.Frontend/Pages/ConfiguracionCorreo.cshtml.cs:138"
"unmatched","POST","/api/correo/probar-conexion","","","","","Facturacion.Frontend/Pages/ConfiguracionCorreo.cshtml.cs:105"
"unmatched","POST","/api/Documentos/{documentoId}/enviar","","","","","Facturacion.Frontend/Pages/Facturacion.cshtml.cs:464"
"unmatched","POST","/api/inventario/asignar-productos","","","","","Facturacion.Frontend/Pages/AsignarProductosSucursal.cshtml.cs:163"
"unmatched","POST","/api/recepciones/responder","","","","","Facturacion.Frontend/Pages/Recepciones.cshtml.cs:136"
"unmatched","POST","/api/recepciones/sincronizar","","","","","Facturacion.Frontend/Pages/Recepciones.cshtml.cs:166"
"unmatched","POST","/api/seguridad/cerrar-todas-sesiones","","","","","Facturacion.Frontend/Pages/Seguridad.cshtml.cs:192"
"unmatched","POST","/api/seguridad/configuracion","","","","","Facturacion.Frontend/Pages/Seguridad.cshtml.cs:75"
